,Questions,Answer,question_clean
77,  What’s the difference between valid and same padding in a CNN?,"This is a pretty intuitive answer. As we saw above, we perform the convolution on ‘x’ one step at a time, to the right, and in the end, we got Z with dimensions 2 X 2, for X with dimensions 3 X 3.Thus, to make the input size similar to the filter size, we make use of padding – adding 0s to the input matrix such that its new size becomes at least 7 X 7. Thus, the output size would be using the formula:Dimension of image = (n, n) = 5 X 5Dimension of filter = (f,f)  = 7 X 7Padding = 1 (adding 1 pixel with value 0 all around the edges)Dimension of output will be (n+2p-f+1) X (n+2p-f+1) = 1 X 1",cnn pad valid what
78,  What do you mean by exploding and vanishing gradients?,"The key here is to make the explanation as simple as possible. As we know, the gradient descent algorithm tries to minimize the error by taking small steps towards the minimum value. These steps are used to update the weights and biases in a neural network.However, at times, the steps become too large and this results in larger updates to weights and bias terms – so much so as to cause an overflow (or a NaN) value in the weights. This leads to an unstable algorithm and is called an exploding gradient.On the other hand, the steps are too small and this leads to minimal changes in the weights and bias terms – even negligible changes at times. We thus might end up training a deep learning model with almost the same weights and biases each time and never reach the minimum error function. This is called the vanishing gradient.A point to note is that both these issues are specifically evident in Recurrent Neural Networks – so be prepared for follow-up questions on RNN!",explod gradient mean vanish
79,  What are the applications of transfer learning in Deep Learning?,"I am sure you would have a doubt as to why a relatively simple question was included in the Intermediate Level. The reason is the sheer volume of subsequent questions it can generate!The use of transfer learning has been one of the key milestones in deep learning. Training a large model on a huge dataset, and then using the final parameters on smaller simpler datasets has led to defining breakthroughs in the form of Pretrained Models. Be it Computer Vision or NLP, pretrained models have become the norm in research and in the industry.Some popular examples include BERT, ResNet, GPT-2, VGG-16, etc and many more.It is here that you can earn brownie points by pointing out specific examples/projects where you used these models and how you used them as well.It is not possible to discuss all of them, so here are a few resources to get started:It is here that questions become really specific to your projects or to what you have discussed in the interview before.Also, depending on the domain – with Computer Vision or Natural Language Processing, these questions can change. While it is not important to know the architecture of each model in detail, you would need to know the intuition behind them and why these models were needed in the first place.Again, just like the intermediate level, it is important to always bring in examples that you have studied or implemented yourself into the discussion.",applic deep learn learn transfer
80,  How backpropagation is different in RNN compared to ANN?,"In Recurrent Neural Networks, we have an additional loop at each node:This loop essentially includes a time component into the network as well. This helps in capturing sequential information from the data, which could not be possible in a generic artificial neural network.This is why the backpropagation in RNN is called Backpropagation through Time, as in backpropagation at each time step.You can find a detailed explanation of RNNs here: Fundamentals of Deep Learning – Introduction to Recurrent Neural Networks.",ann backpropag compar differ rnn
81,  How does LSTM solve the vanishing gradient challenge?,"The LSTM model is considered a special case of RNNs. The problems of vanishing gradients and exploding gradients we saw earlier are a disadvantage while using the plain RNN model.In LSTMs, we add a forget gate, which is basically a memory unit that retains information that is retained across timesteps and discards the other information that is not needed. This also necessitates the need for input and output gates to include the results of the forget gate as well.",challeng gradient lstm solv vanish
82,  Why is GRU faster as compared to LSTM?,"As you can see, the LSTM model can become quite complex. In order to still retain the functionality of retaining information across time and yet not make a too complex model, we need GRUs.Basically, in GRUs, instead of having an additional Forget gate, we combine the input and Forget gates into a single Update Gate:It is this reduction in the number of gates that makes GRU less complex and faster than LSTM. You can learn about GRUs, LSTMs and other sequence models in detail here: Must-Read Tutorial to Learn Sequence Modeling & Attention Models.",compar faster gru lstm
83,  How is the transformer architecture better than RNN?,"Advancements in deep learning have made it possible to solve many tasks in Natural Language Processing. Networks/Sequence models like RNNs, LSTMs, etc. are specifically used for this purpose – so as to capture all possible information from a given sentence, or a paragraph. However, sequential processing comes with its caveats:This gave rise to the Transformer architecture. Transformers use what is called the attention mechanism. This basically means mapping dependencies between all the parts of a sentence.",architectur better rnn transform
84,1) What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network. In the mid-1960s, Alexey Grigorevich Ivakhnenko published the first general, while working on deep learning network. Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",1 deep learn
85,"2) What are the main differences between AI, Machine Learning, and Deep Learning?"," AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior. Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.  Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making. ",2 ai deep differ learn learn machin main
86,3) Differentiate supervised and unsupervised deep learning procedures.," Supervised learning is a system in which both input and desired output data are provided. Input and output data are labeled to provide a learning basis for future data processing. Unsupervised procedure does not need labeling information explicitly, and the operations can be carried out without the same. The common unsupervised learning method is cluster analysis. It is used for exploratory data analysis to find hidden patterns or grouping in data. ",3 deep differenti learn procedur supervis unsupervis
87,4) What are the applications of deep learning?,There are various applications of deep learning: Computer vision Natural language processing and pattern recognition Image recognition and processing Machine translation Sentiment analysis Question Answering system Object Classification and Detection Automatic Handwriting Generation Automatic Text Generation. ,4 applic deep learn
88,5) Do you think that deep network is better than a shallow one?,"Both shallow and deep networks are good enough and capable of approximating any function. But for the same level of accuracy, deeper networks can be much more efficient in terms of computation and number of parameters. Deeper networks can create deep representations. At every layer, the network learns a new, more abstract representation of the input.",5 better deep network shallow think
89,"6) What do you mean by ""overfitting""?",Overfitting is the most common issue which occurs in deep learning. It usually occurs when a deep learning algorithm apprehends the sound of specific data. It also appears when the particular algorithm is well suitable for the data and shows up when the algorithm or model represents high variance and low bias.,6 mean overfit
90,7) What is Backpropagation?,Backpropagation is a training algorithm which is used for multilayer neural networks. It transfers the error information from the end of the network to all the weights inside the network. It allows the efficient computation of the gradient.Backpropagation can be divided into the following steps: It can forward propagation of training data through the network to generate output. It uses target value and output value to compute error derivative concerning output activations. It can backpropagate to compute the derivative of the error concerning output activations in the previous layer and continue for all hidden layers. It uses the previously calculated derivatives for output and all hidden layers to calculate the error derivative concerning weights. It updates the weights. ,7 backpropag
91,8) What is the function of the Fourier Transform in Deep Learning?,"Fourier transform package is highly efficient for analyzing, maintaining, and managing a large databases. The software is created with a high-quality feature known as the special portrayal. One can effectively utilize it to generate real-time array data, which is extremely helpful for processing all categories of signals.",8 deep fourier function learn transform
92,9) Describe the theory of autonomous form of deep learning in a few words.,"There are several forms and categories available for the particular subject, but the autonomous pattern represents independent or unspecified mathematical bases which are free from any specific categorizer or formula.",9 autonom deep form learn theori word
93,"10) What is the use of Deep learning in today's age, and how is it adding data scientists?",Deep learning has brought significant changes or revolution in the field of machine learning and data science. The concept of a complex neural network (CNN) is the main center of attention for data scientists. It is widely taken because of its advantages in performing next-level machine learning operations. The advantages of deep learning also include the process of clarifying and simplifying issues based on an algorithm due to its utmost flexible and adaptable nature. It is one of the rare procedures which allow the movement of data in independent pathways. Most of the data scientists are viewing this particular medium as an advanced additive and extended way to the existing process of machine learning and utilizing the same for solving complex day to day issues.,10 ad age data deep learn scientist today use
94,11) What are the deep learning frameworks or tools?,"Deep learning frameworks or tools are:Tensorflow, Keras, Chainer, Pytorch, Theano & Ecosystem, Caffe2, CNTK, DyNetGensim, DSSTNE, Gluon, Paddle, Mxnet, BigDL",11 deep framework learn tool
95,12) What are the disadvantages of deep learning?,"There are some disadvantages of deep learning, which are: Deep learning model takes longer time to execute the model. In some cases, it even takes several days to execute a single model depends on complexity. The deep learning model is not good for small data sets, and it fails here. ",deep disadvantag learn
96,13) What is the meaning of term weight initialization in neural networks?,"In neural networking, weight initialization is one of the essential factors. A bad weight initialization prevents a network from learning. On the other side, a good weight initialization helps in giving a quicker convergence and a better overall error. Biases can be initialized to zero. The standard rule for setting the weights is to be close to zero without being too small.",13 initi network neural term weight
97,14) Explain Data Normalization.,"Data normalization is an essential preprocessing step, which is used to rescale values to fit in a specific range. It assures better convergence during backpropagation. In general, data normalization boils down to subtracting the mean of each data point and dividing by its standard deviation.",14 data normal
98,15) Why is zero initialization not a good weight initialization process?,"If the set of weights in the network is put to a zero, then all the neurons at each layer will start producing the same output and the same gradients during backpropagation.As a result, the network cannot learn at all because there is no source of asymmetry between neurons. That is the reason why we need to add randomness to the weight initialization process.",15 good initi initi process weight zero
99,16) What are the prerequisites for starting in Deep Learning?,"There are some basic requirements for starting in Deep Learning, which are: Machine Learning Mathematics Python Programming ",16 deep learn prerequisit start
100,17) What are the supervised learning algorithms in Deep learning?, Artificial neural network Convolution neural network Recurrent neural network ,17 algorithm deep learn learn supervis
101,18) What are the unsupervised learning algorithms in Deep learning?, Self Organizing Maps Deep belief networks (Boltzmann Machine) Auto Encoders ,18 algorithm deep learn learn unsupervis
102,19) How many layers in the neural network?, Input Layer The input layer contains input neurons which send information to the hidden layer. Hidden Layer The hidden layer is used to send data to the output layer. Output Layer The data is made available at the output layer. ,19 layer network neural
103,20) What is the use of the Activation function?,"The activation function is used to introduce nonlinearity into the neural network so that it can learn more complex function. Without the Activation function, the neural network would be only able to learn function, which is a linear combination of its input data.Activation function translates the inputs into outputs. The activation function is responsible for deciding whether a neuron should be activated or not. It makes the decision by calculating the weighted sum and further adding bias with it. The basic purpose of the activation function is to introduce non-linearity into the output of a neuron.",20 activ function use
104,21) How many types of activation function are available?, Binary Step Sigmoid Tanh ReLU Leaky ReLU Softmax Swish ,21 activ avail function type
105,22) What is a binary step function?,"The binary step function is an activation function, which is usually based on a threshold. If the input value is above or below a particular threshold limit, the neuron is activated, then it sends the same signal to the next layer. This function does not allow multi-value outputs.",22 binari function step
106,23) What is the sigmoid function?,"The sigmoid activation function is also called the logistic function. It is traditionally a trendy activation function for neural networks. The input data to the function is transformed into a value between 0.0 and 1.0. Input values that are much larger than 1.0 are transformed to the value 1.0. Similarly, values that are much smaller than 0.0 are transformed into 0.0. The shape of the function for all possible inputs is an S-shape from zero up through 0.5 to 1.0. It was the default activation used on neural networks, in the early 1990s.",23 function sigmoid
107,24) What is Tanh function?,"The hyperbolic tangent function, also known as tanh for short, is a similar shaped nonlinear activation function. It provides output values between -1.0 and 1.0. Later in the 1990s and through the 2000s, this function was preferred over the sigmoid activation function as models. It was easier to train and often had better predictive performance.",24 function tanh
108,25) What is ReLU function?,"A node or unit which implements the activation function is referred to as a rectified linear activation unit or ReLU for short. Generally, networks that use the rectifier function for the hidden layers are referred to as rectified networks.Adoption of ReLU may easily be considered one of the few milestones in the deep learning revolution.",25 function relu
109,26) What is the use of leaky ReLU function?,The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.,26 function leaki relu use
110,27) What is the softmax function?,"The softmax function is used to calculate the probability distribution of the event over 'n' different events. One of the main advantages of using softmax is the output probabilities range. The range will be between 0 to 1, and the sum of all the probabilities will be equal to one. When the softmax function is used for multi-classification model, it returns the probabilities of each class, and the target class will have a high probability.",27 function softmax
111,28) What is a Swish function?,"Swish is a new, self-gated activation function. Researchers at Google discovered the Swish function. According to their paper, it performs better than ReLU with a similar level of computational efficiency. ",28 function swish
112,29) What is the most used activation function?,Relu function is the most used activation function. It helps us to solve vanishing gradient problems.,29 activ function
113,30) Can Relu function be used in output layer?,"No, Relu function has to be used in hidden layers.",30 function layer output relu
114,31) In which layer softmax activation function used?,Softmax activation function has to be used in the output layer.,31 activ function layer softmax
115,32) What do you understand by Autoencoder?,"Autoencoder is an artificial neural network. It can learn representation for a set of data without any supervision. The network automatically learns by copying its input to the output; typically,internet representation consists of smaller dimensions than the input vector. As a result, they can learn efficient ways of representing the data. Autoencoder consists of two parts; an encoder tries to fit the inputs to the internal representation, and a decoder converts the internal state to the outputs.",32 autoencod understand
116,33) What do you mean by Dropout?,"Dropout is a cheap regulation technique used for reducing overfitting in neural networks. We randomly drop out a set of nodes at each training step. As a result, we create a different model for each training case, and all of these models share weights. It's a form of model averaging.",33 dropout mean
117,34) What do you understand by Tensors?,"Tensors are nothing but a de facto for representing the data in deep learning. They are just multidimensional arrays, which allows us to represent the data having higher dimensions. In general, we deal with high dimensional data sets where dimensions refer to different features present in the data set.",34 tensor understand
118,35) What do you understand by Boltzmann Machine?,"A Boltzmann machine (also known as stochastic Hopfield network with hidden units) is a type of recurrent neural network. In a Boltzmann machine, nodes make binary decisions with some bias. Boltzmann machines can be strung together to create more sophisticated systems such as deep belief networks. Boltzmann Machines can be used to optimize the solution to a problem. Some important points about Boltzmann Machine- It uses a recurrent structure. It consists of stochastic neurons, which include one of the two possible states, either 1 or 0. The neurons present in this are either in an adaptive state (free state) or clamped state (frozen state). If we apply simulated annealing or discrete Hopfield network, then it would become a Boltzmann Machine. ",35 boltzmann machin understand
119,36) What is Model Capacity?,"The capacity of a deep learning neural network controls the scope of the types of mapping functions that it can learn. Model capacity can approximate any given function. When there is a higher model capacity, it means that the larger amount of information can be stored in the network.",36 capac
120,37) What is the cost function?,"A cost function describes us how well the neural network is performing with respect to its given training sample and the expected output. It may depend on variables such as weights and biases.It provides the performance of a neural network as a whole. In deep learning, our priority is to minimize the cost function. That's why we prefer to use the concept of gradient descent.",37 cost function
121,38) Explain gradient descent?,"An optimization algorithm that is used to minimize some function by repeatedly moving in the direction of steepest descent as specified by the negative of the gradient is known as gradient descent. It's an iteration algorithm, in every iteration algorithm, we compute the gradient of a cost function, concerning each parameter and update the parameter of the function via the following formula:Where,Θ - is the parameter vector, α - learning rate,  J(Θ) - is a cost functionIn machine learning, it is used to update the parameters of our model. Parameters represent the coefficients in linear regression and weights in neural networks.",38 descent gradient
122,"39) Explain the following variant of Gradient Descent: Stochastic, Batch, and Mini-batch?"," Stochastic Gradient Descent Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example. Batch Gradient Descent Batch gradient descent is used to calculate the gradients for the whole dataset and perform just one update at each iteration. Mini-batch Gradient Descent Mini-batch gradient descent is a variation of stochastic gradient descent. Instead of a single training example, mini-batch of samples is used. Mini-batch gradient descent is one of the most popular optimization algorithms. ",39 batch descent gradient minibatch stochast variant
123,40) What are the main benefits of Mini-batch Gradient Descent?," It is computationally efficient compared to stochastic gradient descent. It improves generalization by finding flat minima. It improves convergence by using mini-batches. We can approximate the gradient of the entire training set, which might help to avoid local minima. ",40 benefit descent gradient main minibatch
124,41) What is matrix element-wise multiplication? Explain with an example.,Element-wise matrix multiplication is used to take two matrices of the same dimensions. It further produces another combined matrix with the elements that are a product of corresponding elements of matrix a and b.,41 elementwis exampl matrix multipl
125,42) What do you understand by a convolutional neural network?,"A convolutional neural network, often called CNN, is a feedforward neural network. It uses convolution in at least one of its layers. The convolutional layer contains a set of filter (kernels). This filter is sliding across the entire input image, computing the dot product between the weights of the filter and the input image. As a result of training, the network automatically learns filters that can detect specific features.",42 convolut network neural understand
126,43) Explain the different layers of CNN.,"There are four layered concepts that we should understand in CNN (Convolutional Neural Network): Convolution This layer comprises of a set of independent filters. All these filters are initialized randomly. These filters then become our parameters which will be learned by the network subsequently. ReLU The ReLu layer is used with the convolutional layer. Pooling It reduces the spatial size of the representation to lower the number of parameters and computation in the network. This layer operates on each feature map independently. Full Collectedness Neurons in a completely connected layer have complete connections to all activations in the previous layer, as seen in regular Neural Networks. Their activations can be easily computed with a matrix multiplication followed by a bias offset. ",43 cnn differ layer
127,44) What is an RNN?,"RNN stands for Recurrent Neural Networks. These are the artificial neural networks which are designed to recognize patterns in sequences of data such as handwriting, text, the spoken word, genomes, and numerical time series data. RNN use backpropagation algorithm for training because of their internal memory. RNN can remember important things about the input they received, which enables them to be very precise in predicting what's coming next.",44 rnn
128,45) What are the issues faced while training in Recurrent Networks?,"Recurrent Neural Network uses backpropagation algorithm for training, but it is applied on every timestamp. It is usually known as Back-propagation Through Time (BTT).There are two significant issues with Back-propagation, such as: Vanishing Gradient When we perform Back-propagation, the gradients tend to get smaller and smaller because we keep on moving backward in the Network. As a result, the neurons in the earlier layer learn very slowly if we compare it with the neurons in the later layers.Earlier layers are more valuable because they are responsible for learning and detecting simple patterns. They are the building blocks of the network. If they provide improper or inaccurate results, then how can we expect the next layers and complete network to perform nicely and provide accurate results. The training procedure tales long, and the prediction accuracy of the model decreases. Exploding Gradient Exploding gradients are the main problem when large error gradients accumulate. They provide result in very large updates to neural network model weights during training. Gradient Descent process works best when updates are small and controlled. When the magnitudes of the gradient accumulate, an unstable network is likely to occur. It can cause poor prediction of results or even a model that reports nothing useful. ",45 face issu network recurr train
129,46) Explain the importance of LSTM.,"LSTM stands for Long short-term memory. It is an artificial RNN (Recurrent Neural Network) architecture, which is used in the field of deep learning. LSTM has feedback connections which makes it a ""general purpose computer."" It can process not only a single data point but also entire sequences of data.They are a special kind of RNN which are capable of learning long-term dependencies.",46 import lstm
130,47) What are the different layers of Autoencoders? Explain briefly.,An autoencoder contains three layers: Encoder The encoder is used to compress the input into a latent space representation. It encodes the input images as a compressed representation in a reduced dimension. The compressed images are the distorted version of the original image. Code The code layer is used to represent the compressed input which is fed to the decoder. Decoder The decoder layer decodes the encoded image back to its original dimension. The decoded image is a reduced reconstruction of the original image. It is automatically reconstructed from the latent space representation. ,47 autoencod briefli differ layer
131,48) What do you understand by Deep Autoencoders?,"Deep Autoencoder is the extension of the simple Autoencoder. The first layer present in DeepAutoencoder is responsible for first-order functions in the raw input. The second layer is responsible for second-order functions corresponding to patterns in the appearance of first-order functions. Deeper layers which are available in the Deep Autoencoder tend to learn even high-order features.A deep autoencoder is the combination of two, symmetrical deep-belief networks: First four or five shallow layers represent the encoding half. The other combination of four or five layers makes up the decoding half. ",48 autoencod deep understand
132,49) What are the three steps to developing the necessary assumption structure in Deep learning?,"The procedure of developing an assumption structure involves three specific actions.  The first step contains algorithm development. This particular process is lengthy. The second step contains algorithm analyzing, which represents the in-process methodology.  The third step is about implementing the general algorithm in the final procedure. The entire framework is interlinked and required for throughout the process. ",49 assumpt deep develop learn necessari step structur three
133,"50) What do you understand by Perceptron? Also, explain its type.",A perceptron is a neural network unit (an artificial neuron) that does certain computations to detect features. It is an algorithm for supervised learning of binary classifiers. This algorithm is used to enable neurons to learn and processes elements in the training set one at a time.There are two types of perceptrons: Single-Layer Perceptron Single layer perceptrons can learn only linearly separable patterns. Multilayer Perceptrons Multilayer perceptrons or feedforward neural networks with two or more layers have the higher processing power. ,50 also perceptron type understand
134,  What is Deep Learning?,"If you are going for a deep learning interview, you definitely know what exactly deep learning is. However, with this question the interviewee expects you to give an in-detail answer, with an example. Deep Learning involves taking large volumes of structured or unstructured data and using complex algorithms to train neural networks. It performs complex operations to extract hidden patterns and features (for instance, distinguishing the image of a cat from that of a dog).Your AI/ML Career is Just Around The Corner!AI Engineer Master's ProgramExplore Program",deep learn
135,  What is a Neural Network?,"Neural Networks replicate the way humans learn, inspired by how the neurons in our brains fire, only much simpler.The most common Neural Networks consist of three network layers:Each sheet contains neurons called “nodes,” performing various operations. Neural Networks are used in deep learning algorithms like CNN, RNN, GAN, etc.",network neural
136,  What Is a Multi-layer Perceptron(MLP)?,"As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer. It has the same structure as a single layer perceptron with one or more hidden layers. A single layer perceptron can classify only linear separable classes with binary output (0,1), but MLP can classify nonlinear classes.Except for the input layer, each node in the other layers uses a nonlinear activation function. This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output. MLP uses a supervised learning method called “backpropagation.” In backpropagation, the neural network calculates the error with the help of cost function. It propagates this error backward from where it came (adjusts the weights to train the model more accurately).",multilay perceptronmlp
137,"  What Is Data Normalization, and Why Do We Need It?","The process of standardizing and reforming data is called “Data Normalization.” It’s a pre-processing step to eliminate data redundancy. Often, data comes in, and you get the same information in different formats. In these cases, you should rescale values to fit into a particular range, achieving better convergence.",data need normal
138,  What is the Boltzmann Machine?,"One of the most basic Deep Learning models is a Boltzmann Machine, resembling a simplified version of the Multi-Layer Perceptron. This model features a visible input layer and a hidden layer -- just a two-layer neural net that makes stochastic decisions as to whether a neuron should be on or off. Nodes are connected across layers, but no two nodes of the same layer are connected.",boltzmann machin
139,  What Is the Role of Activation Functions in a Neural Network?,"At the most basic level, an activation function decides whether a neuron should be fired or not. It accepts the weighted sum of the inputs and bias as input to any activation function. Step function, Sigmoid, ReLU, Tanh, and Softmax are examples of activation functions.Future-Proof Your AI/ML Career: Top Dos and Don'tsFree Webinar | 5 Dec, Tuesday | 7 PM ISTRegister Now",activ function network neural role
140,  What Is the Cost Function?,"Also referred to as “loss” or “error,” cost function is a measure to evaluate how good your model’s performance is. It’s used to compute the error of the output layer during backpropagation. We push that error backward through the neural network and use that during the different training functions.",cost function
141,  What Is Gradient Descent?,Gradient Descent is an optimal algorithm to minimize the cost function or to minimize an error. The aim is to find the local-global minima of a function. This determines the direction the model should take to reduce the error.,descent gradient
142,  What Do You Understand by Backpropagation?,This is one of the most frequently asked deep learning interview questions. Backpropagation is a technique to improve the performance of the network. It backpropagates the error and updates the weights to reduce the error.,backpropag understand
143,  What Is the Difference Between a Feedforward Neural Network and Recurrent Neural Network?,"In this deep learning interview question, the interviewee expects you to give a detailed answer.A Feedforward Neural Network signals travel in one direction from input to output. There are no feedback loops; the network considers only the current input. It cannot memorize previous inputs (e.g., CNN).A Recurrent Neural Network’s signals travel in both directions, creating a looped network. It considers the current input with the previously received inputs for generating the output of a layer and can memorize past data due to its internal memory.",feedforward network network neural neural recurr
144,  What Are the Applications of a Recurrent Neural Network (RNN)?,"The RNN can be used for sentiment analysis, text mining, and image captioning. Recurrent Neural Networks can also address time series problems such as predicting the prices of stocks in a month or quarter.Your AI/ML Career is Just Around The Corner!AI Engineer Master's ProgramExplore Program",applic network neural recurr rnn
145,  What Are the Softmax and ReLU Functions?,"Softmax is an activation function that generates the output between zero and one. It divides each output, such that the total sum of the outputs is equal to one. Softmax is often used for output layers.ReLU (or Rectified Linear Unit) is the most widely used activation function. It gives an output of X if X is positive and zeros otherwise. ReLU is often used for hidden layers.",function relu softmax
146,  What Are Hyperparameters?,"This is another frequently asked deep learning interview question. With neural networks, you’re usually working with hyperparameters once the data is formatted correctly. A hyperparameter is a parameter whose value is set before the learning process begins. It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, etc.).",hyperparamet
147,  What Will Happen If the Learning Rate Is Set Too Low or Too High?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights. It will take many updates before reaching the minimum point.If the learning rate is set too high, this causes undesirable divergent behavior to the loss function due to drastic updates in weights. It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train).",happen high learn low rate set
148,  What Is Dropout and Batch Normalization?,Dropout is a technique of dropping out hidden and visible units of a network randomly to prevent overfitting of data (typically dropping 20 percent of the nodes). It doubles the number of iterations needed to converge the network.Batch normalization is the technique to improve the performance and stability of neural networks by normalizing the inputs in every layer so that they have mean output activation of zero and standard deviation of one.The next step on this top Deep Learning interview questions and answers blog will be to discuss intermediate questions.,batch dropout normal
149,  What Is the Difference Between Batch Gradient Descent and Stochastic Gradient Descent?,"Batch Gradient DescentStochastic Gradient DescentThe batch gradient computes the gradient using the entire dataset.It takes time to converge because the volume of data is huge, and weights update slowly.The stochastic gradient computes the gradient using a single sample.It converges much faster than the batch gradient because it updates weight more frequently.Become a Data Scientist with Hands-on Training!Data Scientist Master’s ProgramExplore Program",batch descent descent gradient gradient stochast
150,"  What is Overfitting and Underfitting, and How to Combat Them?","Overfitting occurs when the model learns the details and noise in the training data to the degree that it adversely impacts the execution of the model on new information. It is more likely to occur with nonlinear models that have more flexibility when learning a target function. An example would be if a model is looking at cars and trucks, but only recognizes trucks that have a specific box shape. It might not be able to notice a flatbed truck because there's only a particular kind of truck it saw in training. The model performs well on training data, but not in the real world.Underfitting alludes to a model that is neither well-trained on data nor can generalize to new information. This usually happens when there is less and incorrect data to train a model. Underfitting has both poor performance and accuracy.To combat overfitting and underfitting, you can resample the data to estimate the model accuracy (k-fold cross-validation) and by having a validation dataset to evaluate the model.",combat overfit underfit
151,  How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly.Initializing all weights to 0: This makes your model similar to a linear model. All the neurons and every layer perform the same operation, giving the same output and making the deep net useless.Initializing all weights randomly: Here, the weights are assigned randomly by initializing them very close to 0. It gives better accuracy to the model since every neuron performs different computations. This is the most commonly used method.",initi network weight
152,  What Are the Different Layers on CNN?,There are four layers in CNN:,cnn differ layer
153,"  What is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN. It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix.Your AI/ML Career is Just Around The Corner!AI Engineer Master's ProgramExplore Program,cnn pool work
154,  How Does an LSTM Network Work?,"Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-term dependencies, remembering information for long periods as its default behavior. There are three steps in an LSTM network: Step 1: The network decides what to forget and what to remember. Step 2: It selectively updates cell state values. Step 3: The network decides what part of the current state makes it to the output. ",lstm network work
155,  What Are Vanishing and Exploding Gradients?,"While training an RNN, your slope can become either too small or too large; this makes the training difficult. When the slope is too small, the problem is known as a “Vanishing Gradient.” When the slope tends to grow exponentially instead of decaying, it’s referred to as an “Exploding Gradient.” Gradient problems lead to long training times, poor performance, and low accuracy.Your AI/ML Career is Just Around The Corner!AI Engineer Master's ProgramExplore Program",explod gradient vanish
156,"  What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?"," Epoch - Represents one iteration over the entire dataset (everything put into the training model). Batch - Refers to when we cannot pass the entire dataset into the neural network at once, so we divide the dataset into several batches. Iteration - if we have 10,000 images as data and a batch size of 200. then an epoch should run 50 iterations (10,000 divided by 50). ",batch deep epoch iter learn
157,  Why is Tensorflow the Most Preferred Library in Deep Learning?,"Tensorflow provides both C++ and Python APIs, making it easier to work on and has a faster compilation time compared to other Deep Learning libraries like Keras and Torch. Tensorflow supports both CPU and GPU computing devices.",deep learn librari prefer tensorflow
158,  What Do You Mean by Tensor in Tensorflow?,This is another most frequently asked deep learning interview question. A tensor is a mathematical object represented as arrays of higher dimensions. These arrays of data with different dimensions and ranks fed as input to the neural network are called “Tensors.”,mean tensor tensorflow
159,  What Are the Programming Elements in Tensorflow?,"Constants - Constants are parameters whose value does not change. To define a constant we use  tf.constant() command. For example:a = tf.constant(2.0,tf.float32)b = tf.constant(3.0)Print(a, b)Variables - Variables allow us to add new trainable parameters to graph. To define a variable, we use the tf.Variable() command and initialize them before running the graph in a session. An example:W = tf.Variable([.3].dtype=tf.float32)b = tf.Variable([-.3].dtype=tf.float32)Placeholders - these allow us to feed data to a tensorflow model from outside a model. It permits a value to be assigned later. To define a placeholder, we use the tf.placeholder() command. An example:a = tf.placeholder (tf.float32)b = a*2with tf.Session() as sess:result = sess.run(b,feed_dict={a:3.0})print resultSessions - a session is run to evaluate the nodes. This is called the “Tensorflow runtime.” For example:a = tf.constant(2.0)b = tf.constant(4.0)c = a+b# Launch SessionSess = tf.Session()# Evaluate the tensor cprint(sess.run(c))",element program tensorflow
160,  Explain a Computational Graph.,"Everything in a tensorflow is based on creating a computational graph. It has a network of nodes where each node operates, Nodes represent mathematical operations, and edges represent tensors. Since data flows in the form of a graph, it is also called a “DataFlow Graph.”",comput graph
161,  Explain Generative Adversarial Network. ,"Suppose there is a wine shop purchasing wine from dealers, which they resell later. But some dealers sell fake wine. In this case, the shop owner should be able to distinguish between fake and authentic wine.The forger will try different techniques to sell fake wine and make sure specific techniques go past the shop owner’s check. The shop owner would probably get some feedback from wine experts that some of the wine is not original. The owner would have to improve how he determines whether a wine is fake or authentic.The forger’s goal is to create wines that are indistinguishable from the authentic ones while the shop owner intends to tell if the wine is real or not accurately.Let us understand this example with the help of an image shown above.There is a noise vector coming into the forger who is generating fake wine.Here the forger acts as a Generator.The shop owner acts as a Discriminator.The Discriminator gets two inputs; one is the fake wine, while the other is the real authentic wine. The shop owner has to figure out whether it is real or fake.So, there are two primary components of Generative Adversarial Network (GAN) named:The generator is a CNN that keeps keys producing images and is closer in appearance to the real images while the discriminator tries to determine the difference between real and fake images The ultimate aim is to make the discriminator learn to identify real and fake images.",adversari gener network
